page,product,brand,price,image,type,price_level
https://www.saksfifthavenue.com/saint-laurent-mini-manhattan-leather-satchel/product/0400011864676?FOLDER%3C%3Efolder_id=2534374306623861&R=190617495365&P_name=Saint+Laurent&N=306623861&bmUID=m.jaUnt,Mini Manhattan Leather Satchel,Saint Laurent,$1650.00,https://image.s5a.com/is/image/saks/0400011864676_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/saint-laurent-small-kate-metallic-snakeskin-shoulder-bag/product/0400011864299?FOLDER%3C%3Efolder_id=2534374306623861&R=190617502674&P_name=Saint+Laurent&N=306623861&bmUID=m.jaUnx,Small Kate Metallic Snakeskin Shoulder Bag,Saint Laurent,$2550.00,https://image.s5a.com/is/image/saks/0400011864299_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/saint-laurent-kate-iridescent-tiger-burnout-shoulder-bag/product/0400011864013?FOLDER%3C%3Efolder_id=2534374306623861&R=190617500748&P_name=Saint+Laurent&N=306623861&bmUID=m.jaUnC,Kate Iridescent Tiger Burnout Shoulder Bag,Saint Laurent,$1690.00,https://image.s5a.com/is/image/saks/0400011864013_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/saint-laurent-small-lou-lou-beaded-shoulder-bag/product/0400011249123?FOLDER%3C%3Efolder_id=2534374306623861&R=190617465443&P_name=Saint+Laurent&N=306623861&bmUID=m.jaUnG,Small Lou Lou Beaded Shoulder Bag,Saint Laurent,$9500.00,https://image.s5a.com/is/image/saks/0400011249123_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/salvatore-ferragamo-small-studio-cage-leather-top-handle-bag/product/0400011357368?FOLDER%3C%3Efolder_id=2534374306623861&R=8057453684204&P_name=Salvatore+Ferragamo&N=306623861&bmUID=m.jaUnL,Small Studio Cage Leather Top Handle Bag,Salvatore Ferragamo,$2900.00,https://image.s5a.com/is/image/saks/0400011357368_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/salvatore-ferragamo-small-vara-rainbow-leather-crossbody-bag/product/0400095555464?FOLDER%3C%3Efolder_id=2534374306623861&R=8058572386987&P_name=Salvatore+Ferragamo&N=306623861&bmUID=m.jaUnO,Small Vara Rainbow Leather Crossbody Bag,Salvatore Ferragamo,$1390.00,https://image.s5a.com/is/image/saks/0400095555464_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/stella-mccartney-eco-basket-circle-shoulder-bag/product/0400012231083?FOLDER%3C%3Efolder_id=2534374306623861&R=194524352827&P_name=Stella+McCartney&N=306623861&bmUID=m.jaUnU,Eco Basket Circle Shoulder Bag,Stella McCartney,$730.00,https://image.s5a.com/is/image/saks/0400012231083_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/stella-mccartney-mini-stella-logo-denim-shoulder-bag/product/0400011923080?FOLDER%3C%3Efolder_id=2534374306623861&R=194524286511&P_name=Stella+McCartney&N=306623861&bmUID=m.jaUnY,Mini Stella Logo Denim Shoulder Bag,Stella McCartney,$895.00,https://image.s5a.com/is/image/saks/0400011923080_247x329.jpg,shoulder_bags,less 1000
https://www.saksfifthavenue.com/stella-mccartney-falabella-shaggy-deer-tote/product/0457517381328?FOLDER%3C%3Efolder_id=2534374306623861&R=828873541778&P_name=Stella+McCartney&N=306623861&bmUID=m.jaUo2,Falabella Shaggy Deer Tote,Stella McCartney,$1025.00,https://image.s5a.com/is/image/saks/0457517381328_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/stella-mccartney-falabella-shaggy-deer-reversible-tote/product/0400098329652?FOLDER%3C%3Efolder_id=2534374306623861&R=888489772041&P_name=Stella+McCartney&N=306623861&bmUID=m.jaUo4,Falabella Shaggy Deer Reversible Tote,Stella McCartney,$1235.00,https://image.s5a.com/is/image/saks/0400098329652_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/strathberry-mini-east-west-bi-color-leather-shoulder-bag/product/0400011495137?FOLDER%3C%3Efolder_id=2534374306623861&R=5056309300612&P_name=Strathberry&N=306623861&bmUID=m.jaUo7,Mini East/West Bi-Color Leather Shoulder Bag,Strathberry,$645.00,https://image.s5a.com/is/image/saks/0400011495137_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/strathberry-midi-allegro-leather-satchel/product/0400011494573?FOLDER%3C%3Efolder_id=2534374306623861&R=5056309300797&P_name=Strathberry&N=306623861&bmUID=m.jaUoa,Midi Allegro Leather Satchel,Strathberry,$825.00,https://image.s5a.com/is/image/saks/0400011494573_247x329.jpg,shoulder_bags,less 1000
https://www.saksfifthavenue.com/strathberry-mini-crescent-bi-color-leather-shoulder-bag/product/0400011494542?FOLDER%3C%3Efolder_id=2534374306623861&R=5056309301749&P_name=Strathberry&N=306623861&bmUID=m.jaUob,Mini Crescent Bi-Color Leather Shoulder Bag,Strathberry,$595.00,https://image.s5a.com/is/image/saks/0400011494542_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/strathberry-mini-crescent-leather-shoulder-bag/product/0400011494552?FOLDER%3C%3Efolder_id=2534374306623861&R=5056309301725&P_name=Strathberry&N=306623861&bmUID=m.jaUoe,Mini Crescent Leather Shoulder Bag,Strathberry,$555.00,https://image.s5a.com/is/image/saks/0400011494552_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/the-row-leather-envelope-clutch/product/0400011904432?FOLDER%3C%3Efolder_id=2534374306623861&R=887461790141&P_name=The+Row&N=306623861&bmUID=m.jaUoh,Leather Envelope Clutch,The Row,$890.00,https://image.s5a.com/is/image/saks/0400011904432_247x329.jpg,shoulder_bags,less 1000
https://www.saksfifthavenue.com/think-royln-quilted-metallic-belt-bag/product/0400012033922?FOLDER%3C%3Efolder_id=2534374306623861&R=819247021576&P_name=Think+Royln&N=306623861&bmUID=m.jaUom,Quilted Metallic Belt Bag,Think Royln,$98.00,https://image.s5a.com/is/image/saks/0400012033922_247x329.jpg,shoulder_bags,less 250
https://www.saksfifthavenue.com/think-royln-wingman-quilted-tote/product/0400012033807?FOLDER%3C%3Efolder_id=2534374306623861&R=819247020722&P_name=Think+Royln&N=306623861&bmUID=m.jaUop,Wingman Quilted Tote,Think Royln,$178.00,https://image.s5a.com/is/image/saks/0400012033807_247x329.jpg,shoulder_bags,less 250
https://www.saksfifthavenue.com/tory-burch-mini-perry-bombe-leather-camera-bag/product/0400012245845?FOLDER%3C%3Efolder_id=2534374306623861&R=192485414493&P_name=Tory+Burch&N=306623861&bmUID=m.jaUot,Mini Perry Bombé Leather Camera Bag,Tory Burch,$298.00,https://image.s5a.com/is/image/saks/0400012245845_247x329.jpg,shoulder_bags,less 500
https://www.saksfifthavenue.com/tory-burch-miller-metal-leather-hobo-bag/product/0400011403701?FOLDER%3C%3Efolder_id=2534374306623861&R=192485269611&P_name=Tory+Burch&N=306623861&bmUID=m.jaUov,Miller Metal Leather Hobo Bag,Tory Burch,$578.00,https://image.s5a.com/is/image/saks/0400011403701_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/valentino-valentino-garavani-medium-rockstud-spike-raffia-shoulder-bag/product/0400011947035?FOLDER%3C%3Efolder_id=2534374306623861&R=8052327792139&P_name=Valentino&N=306623861&bmUID=m.jaUoz,Valentino Garavani Medium Rockstud Spike Raffia Shoulder Bag,Valentino,$3595.00,https://image.s5a.com/is/image/saks/0400011947035_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/valentino-valentino-garavani-mini-rockstud-spike-leather-bucket-bag/product/0400011372569?FOLDER%3C%3Efolder_id=2534374306623861&R=8054738385108&P_name=Valentino&N=306623861&bmUID=m.jaUoB,Valentino Garavani Mini Rockstud Spike Leather Bucket Bag,Valentino,$1945.00,https://image.s5a.com/is/image/saks/0400011372569_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/valentino-valentino-garavani-supervee-leather-saddle-bag/product/0400011372232?FOLDER%3C%3Efolder_id=2534374306623861&R=8054738486072&P_name=Valentino&N=306623861&bmUID=m.jaUoE,Valentino Garavani Supervee Leather Saddle Bag,Valentino,$2875.00,https://image.s5a.com/is/image/saks/0400011372232_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/valentino-valentino-garavani-rockstud-leather-envelope-wallet-on-chain/product/0400099980972?FOLDER%3C%3Efolder_id=2534374306623861&R=8053341424907&P_name=Valentino&N=306623861&bmUID=m.jaUoF,Valentino Garavani Rockstud Leather Envelope Wallet-On-Chain,Valentino,$1295.00,https://image.s5a.com/is/image/saks/0400099980972_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/versace-small-icon-quilted-leather-shoulder-bag/product/0400098662851?FOLDER%3C%3Efolder_id=2534374306623861&R=8058336647026&P_name=Versace&N=306623861&bmUID=m.jaUoH,Small Icon Quilted Leather Shoulder Bag,Versace,$1675.00,https://image.s5a.com/is/image/saks/0400098662851_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/whiting-davis-pyramid-mesh-clutch/product/0400011573341?FOLDER%3C%3Efolder_id=2534374306623861&R=604541218100&P_name=Whiting+%26+Davis&N=306623861&bmUID=m.jaUoI,Pyramid Mesh Clutch,Whiting & Davis,$195.00,https://image.s5a.com/is/image/saks/0400011573341_247x329.jpg,shoulder_bags,less 250
https://www.saksfifthavenue.com/yuzefi-mini-bom-leather-stachel/product/0400011902035?FOLDER%3C%3Efolder_id=2534374306623861&R=5060607503675&P_name=Yuzefi&N=306623861&bmUID=m.jaUoK,Mini Bom Leather Stachel,Yuzefi,$395.00,https://image.s5a.com/is/image/saks/0400011902035_247x329.jpg,shoulder_bags,less 500
https://www.saksfifthavenue.com/yuzefi-bom-leather-stachel/product/0400011901773?FOLDER%3C%3Efolder_id=2534374306623861&R=5060607503231&P_name=Yuzefi&N=306623861&bmUID=m.jaUoN,Bom Leather Stachel,Yuzefi,$470.00,https://image.s5a.com/is/image/saks/0400011901773_247x329.jpg,shoulder_bags,less 500
https://www.saksfifthavenue.com/3-1-phillip-lim-alix-croc-embossed-leather-shoulder-bag/product/0400012191672?FOLDER%3C%3Efolder_id=2534374306623861&R=888824829249&P_name=3.1+Phillip+Lim&N=306623861&bmUID=m.jaUoR,Alix Croc-Embossed Leather Shoulder Bag,3.1 Phillip Lim,$795.00,https://image.s5a.com/is/image/saks/0400012191672_247x329.jpg,shoulder_bags,less 1000
https://www.saksfifthavenue.com/3-1-phillip-lim-mini-odita-modern-lattice-leather-bucket-bag/product/0400011889798?FOLDER%3C%3Efolder_id=2534374306623861&R=888824801863&P_name=3.1+Phillip+Lim&N=306623861&bmUID=m.jaUoT,Mini Odita Modern Lattice Leather Bucket Bag,3.1 Phillip Lim,$695.00,https://image.s5a.com/is/image/saks/0400011889798_247x329.jpg,shoulder_bags,less 750
https://www.saksfifthavenue.com/3-1-phillip-lim-alix-leather-shoulder-bag/product/0400099062370?FOLDER%3C%3Efolder_id=2534374306623861&R=888824636939&P_name=3.1+Phillip+Lim&N=306623861&bmUID=m.jaUoU,Alix Leather Shoulder Bag,3.1 Phillip Lim,$850.00,https://image.s5a.com/is/image/saks/0400099062370_247x329.jpg,shoulder_bags,less 1000
https://www.saksfifthavenue.com/akris-small-ai-floral-embossed-leather-tote/product/0400011465375?FOLDER%3C%3Efolder_id=2534374306623861&R=7613245560104&P_name=Akris&N=306623861&bmUID=m.jaUoX,Small AI Floral-Embossed Leather Tote,Akris,$1990.00,https://image.s5a.com/is/image/saks/0400011465375_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/alaia-small-cecile-leather-satchel/product/0400011381940?FOLDER%3C%3Efolder_id=2534374306623861&R=400113819399&P_name=Ala%26%23239%3Ba&N=306623861&bmUID=m.jaUp6,Small Cecile Leather Satchel,Alaïa,$3390.00,https://image.s5a.com/is/image/saks/0400011381940_247x329.jpg,shoulder_bags,higher 1000
https://www.saksfifthavenue.com/alaia-small-franca-stud-leather-satchel/product/0400011381244?FOLDER%3C%3Efolder_id=2534374306623861&R=400113812437&P_name=Ala%26%23239%3Ba&N=306623861&bmUID=m.jaUp7,Small Franca Stud Leather Satchel,Alaïa,$2350.00,https://image.s5a.com/is/image/saks/0400011381244_247x329.jpg,shoulder_bags,higher 1000
