page,product,brand,price,image,type,price_level
https://us.shein.com/Lips-Design-Chain-Crossbody-Bag-p-930291-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Lips Design Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/16/157389971149ad98ef701de4b90d394a083ef58cdb_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Heart-Shaped-Chevron-Chain-Bag-p-930333-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Heart Shaped Chevron Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/16/1573887686d0de6efe9ddcf318615cc3e55e5223aa_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Tassel-Decor-Woven-Bucket-Bag-With-Drawstring-p-791444-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Tassel Decor Woven Bucket Bag With Drawstring,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/07/11/15628108052903109540_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Buckle-Decor-Croc-Embossed-Crossbody-Bag-p-978119-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Buckle Decor Croc Embossed Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/20/15768270589d05289f33913f3764b76b9aa506d6d6_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Chain-Decor-Crossbody-Bag-With-Purse-p-935873-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Chain Decor Crossbody Bag With Purse,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/20/157425567039be87dd0de584867d1da5159d5f4b1b_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Twist-Lock-Tweed-Chain-Bag-p-860604-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Twist Lock Tweed Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/09/24/15693155891cf5332457ecb8a13e804213110fb416_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Croc-Embossed-Flap-Chain-Crossbody-Bag-p-918902-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Croc Embossed Flap Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/09/15732883643beef4d8e98a490999836c5dfdb02abd_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Studded-Decor-Quilted-Backpack-With-Drawstring-p-1003901-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Studded Decor Quilted Backpack With Drawstring,shein,less $50,http://img.ltwebstatic.com/images3_pi/2020/01/08/1578478066e57234af9966cc0eb05f99b297430d0c_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Snakeskin-Print-Metal-Lock-Flap-Chain-Bag-p-976619-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Snakeskin Print Metal Lock Flap Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/19/15767390428f5e192d417f34aa48c965ff7578bfcb_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Quilted-Chain-Crossbody-Bag-p-976023-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Quilted Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/19/157674481442b20c8d694ab9b0be202dbfd06879f8_thumbnail_405x552.jpg,shein_crossbody,less 50
